guideword,grammar,example,level,type,scene_uid,uid
accord de l'adjectif après il/elle est,faire accorder l'adjectif avec le genre et le nombre du nom quand on utilise 'il est' ou 'elle est',"Elle est délicieuse !
Il est réconfortant.",A1,Pronouns,72,144
adjectif après c'est,"utiliser l'adjectif au masculin singulier après 'c'est', même si la chose décrite est féminine ou plurielle","C'est passionnant !
C'est délicieux !",A1,Pronouns,73,145
contexte pour choisir entre c'est et il/elle est,distinguer entre une généralisation (c'est) et une référence à un élément spécifique (il/elle est) quand le contexte n'est pas clair,"Tu aimes la soupe ? - Oui, elle est délicieuse ! (la soupe spécifique)
Tu aimes la soupe ? - Oui, c'est réconfortant ! (la soupe en général)",A1,Pronouns,73,146
c'est + adjectif,"utiliser l'adjectif au masculin après 'c'est' quand il est utilisé de manière indépendante, sans nom spécifique","C'est cher !
C'est ennuyeux.
C'est génial !
C'est joli.
C'est gratuit.",A1,Adjectives & Adverbs,74,147
accord de l'adjectif,accorder l'adjectif avec le nom qu'il décrit quand celui-ci est présent dans la phrase,Cette jupe est chère.,A1,Adjectives & Adverbs,74,148
c'est / ce sont,utiliser les pronoms démonstratifs 'c'est' et 'ce sont' pour présenter ou identifier quelque chose de manière correcte selon le nombre,"C'est ma maison.
Ce sont mes maisons.
Est-ce ta trousse ? - Oui, c'est la mienne.
À qui sont ces livres ? Ce sont mes livres.",A1,Pronouns,75,149
c'est avec adjectif/adverbe,"utiliser 'c'est' (et jamais 'ce sont') devant un adjectif ou un adverbe seul, même si le sujet est pluriel","Les ciseaux, c'est pratique.
Et leurs anniversaires ? - C'est bientôt !",A1,Pronouns,75,150
ce sont avec adverbe + nom,"utiliser 'ce sont' lorsqu’un adverbe est suivi d’un nom pluriel, car c’est le nom qui détermine l’accord",Ce sont bientôt les vacances !,A1,Pronouns,76,151
usage courant vs règle stricte,"reconnaître que l’usage courant peut ignorer la concordance stricte et utiliser 'c'est' même avec un sujet pluriel, tant que le mot suivant est un groupe nominal",C'est bientôt les vacances !,A1,Pronouns,76,152
de pour la possession,"utiliser 'de' ou 'des' pour exprimer la possession, avec l'objet avant le propriétaire","La maison des Jackson est sur la gauche.
Le livre de Paul est sur son lit.
Le jouet de l'enfant est cassé.
Les notes d'Aurélie sont bonnes.",A1,Adjectives & Adverbs,77,153
article défini avec possession,"ajouter un article défini (le, la, l', les) devant le nom possédé",le livre de Paul,A1,Adjectives & Adverbs,77,154
"mon, ma, mes",utiliser les adjectifs possessifs selon le genre et le nombre de l'objet possédé,"J'aime mon chien.
Jean aime ses parents.",A1,Adjectives & Adverbs,78,155
"ton, ta, tes",exprimer la possession à la deuxième personne du singulier (tu) en accord avec le genre de l'objet,Tu as ton crayon ?,A1,Adjectives & Adverbs,78,156
"son, sa, ses",indiquer une possession à la troisième personne (il/elle) en fonction du genre et du nombre de l'objet,"Il déteste son frère.
Lisa adore son frère.
Il équipe sa voiture d'un gyrophare.",A1,Adjectives & Adverbs,79,157
"notre, nos, votre, vos, leur, leurs","utiliser les adjectifs possessifs pour les sujets pluriels (nous, vous, ils/elles)",,A1,Adjectives & Adverbs,79,158
ma → mon,adapter l'adjectif possessif féminin 'ma' en 'mon' devant un nom féminin commençant par une voyelle ou un h muet,,A1,Adjectives & Adverbs,80,159
prépositions de lieu,utiliser des prépositions pour indiquer la position d'une personne ou d'un objet par rapport à un autre,"La lampe est sur le bureau.
La boulangerie est dans le centre commercial.
Il est devant la poste.
Je suis assis entre Léa et Tim.
Qui est derrière toi ?
Ta chaussure est sous le lit.",A1,Prepositions & Conjunctions,80,160
structure de la préposition,placer une préposition avant un nom pour exprimer une relation avec un autre mot dans la phrase,"sur le bureau
dans le centre commercial
devant la poste
entre Léa et Tim
derrière toi
sous le lit",A1,Prepositions & Conjunctions,81,161
notre/nos,utiliser les adjectifs possessifs pour exprimer 'notre' selon le nombre du nom possédé,"Nous promenons notre chien.
Nous avons nos passeports.",A1,Adjectives & Adverbs,81,162
votre/vos,utiliser les adjectifs possessifs pour exprimer 'votre' selon le nombre du nom possédé,"Vous faites vos devoirs.
Pouvez-vous apporter vos chaussures, s'il-vous-plaît?
Vous avez passé votre examen.",A1,Adjectives & Adverbs,82,163
leur/leurs,utiliser les adjectifs possessifs pour exprimer 'leur(s)' selon le nombre du nom possédé,Ils aiment leurs parents.,A1,Adjectives & Adverbs,82,164
mon/ma/mes,utiliser les adjectifs possessifs pour exprimer 'mon/ma/mes' selon le genre et le nombre du nom possédé,,A1,Adjectives & Adverbs,83,165
ton/ta/tes,utiliser les adjectifs possessifs pour exprimer 'ton/ta/tes' selon le genre et le nombre du nom possédé,,A1,Adjectives & Adverbs,83,166
son/sa/ses,utiliser les adjectifs possessifs pour exprimer 'son/sa/ses' selon le genre et le nombre du nom possédé,,A1,Adjectives & Adverbs,84,167
ma → mon,modifier 'ma' en 'mon' devant un nom féminin commençant par une voyelle ou un h muet,,A1,Adjectives & Adverbs,84,168
#NAME?,"former le féminin des noms et adjectifs se terminant par -ien, -ion ou -on","mignon / mignonne
ancien / ancienne
bon / bonne
champion / championne
lion / lionne
australien / australienne",A1,Adjectives & Adverbs,85,169
nationalité comme adjectif,utiliser une nationalité en minuscule quand elle fonctionne comme adjectif,Ma petite amie est canadienne.,A1,Adjectives & Adverbs,85,170
nationalité comme nom,utiliser une nationalité avec une majuscule quand elle fonctionne comme nom,Je connais un Canadien qui vit de l'autre côté de la rue.,A1,Adjectives & Adverbs,86,171
en vs dans,"utiliser 'en' ou 'dans' pour exprimer une localisation en fonction du contexte : 'en' pour une idée générale ou fonctionnelle, 'dans' pour un lieu physique précis","Je suis en classe.
Je suis dans la classe.
Il y a une boulangerie dans la ville.
Je vais en ville.
Le voleur est en prison pour deux ans.
Les leçons ont lieu dans son école d'ingénieur.",A1,Prepositions & Conjunctions,86,172
Quelle heure est-il ?,Savoir poser une question sur l'heure en français,"Quelle heure est-il ?
Quelle heure il est ?",A1,"Numbers, Time & Date",87,173
Il est + heure,Savoir exprimer l'heure précise en utilisant la structure correcte avec 'il est',"Il est dix heures.
Il est cinq heures.
Il est une heure.",A1,"Numbers, Time & Date",87,174
midi / minuit,Savoir dire midi et minuit sans utiliser 'heure(s)',"Il est minuit.
Il est midi.",A1,"Numbers, Time & Date",88,175
et demie,Savoir dire 'demi(e)' après une heure pour exprimer 'half past',"Il est six heures et demie.
Il est trois heures et demie.
Il est minuit et demi.",A1,"Numbers, Time & Date",88,176
et quart,Savoir exprimer 'quarter past' en utilisant 'et quart',"Il est sept heures et quart.
Il est minuit et quart.",A1,"Numbers, Time & Date",89,177
moins le quart,Savoir exprimer 'quarter to' en utilisant 'moins le quart',"Il est cinq heures moins le quart.
Il est midi moins le quart.",A1,"Numbers, Time & Date",89,178
heures + minutes,Savoir dire les minutes après l'heure (ex. 20 minutes past),"Il est trois heures vingt.
Il est onze heures cinq.
Il est neuf heures vingt-cinq.",A1,"Numbers, Time & Date",90,179
moins + minutes,Savoir dire les minutes avant l'heure suivante (ex. 10 minutes to),"Il est huit heures moins dix.
Il est sept heures moins cinq.
Il est une heure moins vingt-cinq.",A1,"Numbers, Time & Date",90,180
être en retard,pouvoir exprimer qu'on arrive après l'heure prévue,Je suis désolé d'être en retard.,A1,"Idioms, Idiomatic Usage, and Structures",91,181
être en avance,pouvoir exprimer qu'on arrive avant l'heure prévue,Vous êtes vraiment en avance!,A1,"Idioms, Idiomatic Usage, and Structures",91,182
être à l'heure,pouvoir exprimer qu'on arrive exactement à l'heure prévue,Je ne suis jamais à l'heure!,A1,"Idioms, Idiomatic Usage, and Structures",92,183
aller au présent,conjuguer le verbe irrégulier 'aller' au présent de l'indicatif pour exprimer un déplacement ou un futur proche,"je vais
tu vas
il/elle/on va
nous allons
vous allez
ils/elles vont",A1,Verbs Tenses & Conjugation,92,184
exemples avec aller,utiliser le verbe 'aller' au présent pour parler de déplacements concrets dans des situations quotidiennes,"Je vais à Paris aujourd'hui.
Tu vas à la fête ?
Elle va au marché.
Nous allons au cinéma.
Vous allez au centre commercial tous les jours.
Ils vont aux magasins.",A1,Verbs Tenses & Conjugation,93,185
articles contractés,utiliser les formes contractées des prépositions à et de avec les articles définis pour former une seule unité,"Je vais au cinéma.
Je vais aux États-Unis.
Je viens du marché.
Je viens des Pays-Bas.",A1,Nouns & Articles,93,186
préposition à,exprimer le mouvement vers un lieu avec à + article défini (sans contraction si article féminin ou élidé),"Je vais à la poste.
Je vais à l'hôtel.",A1,Nouns & Articles,94,187
préposition de,indiquer l'origine ou la provenance avec de + article défini (sans contraction si article féminin ou élidé),"Je viens de la piscine.
Je viens de l'auberge de jeunesse.",A1,Nouns & Articles,94,188
prépositions de lieu,utiliser des prépositions pour indiquer la position d’un objet ou d’une personne par rapport à un autre,"La boulangerie est près de l'hôtel.
Je suis à côté de la piscine.
Je suis à côté du cinéma.",A1,Prepositions & Conjunctions,95,189
contraction avec de,contracter la préposition 'de' avec les articles définis masculin singulier (le → du) et pluriel (les → des),"à côté du cinéma
à l'extérieur du parc",A1,Prepositions & Conjunctions,95,190
à l'extérieur de,indiquer une position géographique littérale à l’extérieur d’un espace défini,La statue est à l'extérieur du parc.,A1,Prepositions & Conjunctions,96,191
en dehors de,exprimer une idée d’exclusion ou une position abstraite ou géographique en dehors d’un lieu,"En dehors de cela, je pense que c'est une mauvaise idée.
Tu vis en dehors de la ville.",A1,Prepositions & Conjunctions,96,192
pour + infinitif,exprimer un but ou une intention (in order to faire quelque chose),"Elle a acheté de la farine pour faire un gâteau.
Je vais au cinéma pour voir un film.
Je prends des leçons pour apprendre le français.",A1,Prepositions & Conjunctions,97,193
afin de + infinitif,exprimer un but de manière plus formelle ou élégante,Je prends des leçons afin d'apprendre le français.,A1,Prepositions & Conjunctions,97,194
pour + pronom réfléchi + infinitif,"exprimer un but avec un verbe pronominal, en accordant le pronom avec le sujet","Je vais dans ma chambre pour m'habiller.
Tu lis pour te relaxer.
Nous allons à la fête foraine pour nous amuser.
Les hommes utilisent des rasoirs pour se raser.",A1,Prepositions & Conjunctions,98,195
aller pour exprimer l'état,utiliser le verbe 'aller' pour dire comment on se sent en général,"Comment va Paul ? - Il ne va pas très bien ces jours-ci.
Comment ça va ? - Ça va bien, et toi ?
Je vais mal
Comment vont tes enfants ? - Ils vont mieux, merci",A1,"Idioms, Idiomatic Usage, and Structures",98,196
être avec adjectif spécifique,"utiliser le verbe 'être' pour exprimer un état précis avec un adjectif (malade, fatigué, heureux, etc.)","Comment vas-tu, Bertrand ? - Je suis malade aujourd'hui.
Comment ça va Samantha ? - Je suis fatiguée.",A1,"Idioms, Idiomatic Usage, and Structures",99,197
genre des noms propres géographiques,"utiliser le bon genre (masculin, féminin ou pluriel) avec les noms de continents, pays, régions et États","Il rêve d'une Europe unie.
J'adore les Pays-Bas !
Là-bas, on découvre un Japon sauvage.
La Bretagne est une région magnifique.
Elle adore la Floride !",A1,Nouns & Articles,99,198
finissant par -e,identifier comme féminins la plupart des noms géographiques se terminant par -e,"l'Europe
l'Afrique
l'Amérique
l'Asie
l'Océanie",A1,Nouns & Articles,100,199
exceptions féminines,reconnaître les exceptions : certains noms géographiques se terminant par -e sont masculins,"l'Antarctique
le Mexique
le Cambodge
le Zimbabwe
le Mozambique
le Belize",A1,Nouns & Articles,100,200
autres terminaisons,utiliser le masculin pour les noms géographiques se terminant par une lettre autre que -e,"le Japon
le Portugal
l'Ohio
le Nebraska",A1,Nouns & Articles,101,201
pays pluriels,utiliser le pluriel pour certains pays composés de plusieurs entités,"les États-Unis
les Pays-Bas",A1,Nouns & Articles,101,202
cas particulier - Pays de Galles,utiliser le masculin singulier pour 'Pays de Galles',le Pays de Galles,A1,Nouns & Articles,102,203
comtés anglais,"utiliser le masculin pour les comtés anglais, y compris ceux en -shire","Ils habitent dans le Yorkshire.
Je travaille dans le Hampshire.
Le Merseyside est un comté anglais qui comprend Liverpool.",A1,Nouns & Articles,102,204
exceptions comtés anglais,appliquer le féminin à certaines exceptions de comtés anglais,"la Cornouailles
l'île de Wight",A1,Nouns & Articles,103,205
articles définis avec pays,"utiliser le, la, l', les avec les noms de pays, continents, régions au sens général","La France est un merveilleux pays.
J'adore le Portugal et l'Italie.
Les États-Unis sont un immense pays.
Il adore l'Europe.
Je déteste la Californie ou la Provence.",A1,Nouns & Articles,103,206
absence d'article avec villes,ne pas utiliser d'article défini avec les noms de villes,J'aime Paris et Londres.,A1,Nouns & Articles,104,207
genre des noms géographiques,"identifier le genre (masculin, féminin, pluriel) des continents, pays, régions pour choisir le bon article","la France
le Portugal
l'Italie
les États-Unis
l'Europe
la Californie
la Provence",A1,Nouns & Articles,104,208
ça,"utiliser un pronom démonstratif pour désigner quelque chose de manière générale, au lieu d’un nom spécifique","Oh ! J'ai regardé ça aussi hier.
La grammaire française ? Je trouve ça trop difficile !
Ça me dérange quand on fume à côté de moi.",A1,Pronouns,105,209
ça + singulier,utiliser le pronom « ça » avec un verbe à la forme singulière même quand l'idée générale est plurielle,"Les lasagnes ? J'adore ça !
Les probabilités, ça m'énerve !",A1,Pronouns,105,210
en/au/aux + pays,"utiliser la préposition correcte (en, au, aux) pour exprimer 'dans' ou 'à' un pays en fonction du genre du pays","Je vais en France ce weekend.
Il est en Angleterre maintenant.
On est au Portugal.
Vous allez aux États-Unis.
Ils vont au Pays de Galles.",A1,Prepositions & Conjunctions,106,211
en avec pays masculin vocalique,utiliser 'en' au lieu de 'au' devant un pays masculin qui commence par une voyelle pour des raisons de prononciation,"Mon ami Sahid vit en Iran.
J'ai passé mon été en Ouganda.",A1,Prepositions & Conjunctions,106,212
